window1	window2	w_drift	avgFaceTEMP
scale = 1
0.000000	0.000000	0.250000	83.919715881347656
0.000000	0.100000	0.275000	80.219902038574219
0.000000	0.200000	0.300000	79.044982910156250
0.000000	0.300000	0.325000	79.057426452636719
0.000000	0.400000	0.350000	79.002975463867188
0.000000	0.500000	0.375000	79.301872253417969
0.000000	0.600000	0.400000	79.132591247558594
0.000000	0.700000	0.425000	78.505615234375000
0.000000	0.800000	0.450000	76.299049377441406
0.000000	0.900000	0.475000	83.678115844726562
0.000000	1.000000	0.500000	81.153724670410156
0.100000	0.000000	0.275000	80.165985107421875
0.100000	0.100000	0.300000	79.046531677246094
0.100000	0.200000	0.325000	79.043983459472656
0.100000	0.300000	0.350000	79.001052856445312
0.100000	0.400000	0.375000	79.390541076660156
0.100000	0.500000	0.400000	79.132888793945312
0.100000	0.600000	0.425000	78.338897705078125
0.100000	0.700000	0.450000	75.505432128906250
0.100000	0.800000	0.475000	83.240951538085938
0.100000	0.900000	0.500000	81.126152038574219
0.100000	1.000000	0.525000	79.341133117675781
0.200000	0.000000	0.300000	79.050308227539062
0.200000	0.100000	0.325000	79.039955139160156
0.200000	0.200000	0.350000	78.980995178222656
0.200000	0.300000	0.375000	79.203376770019531
0.200000	0.400000	0.400000	79.110679626464844
0.200000	0.500000	0.425000	78.341743469238281
0.200000	0.600000	0.450000	75.102737426757812
0.200000	0.700000	0.475000	82.950706481933594
0.200000	0.800000	0.500000	81.036766052246094
0.200000	0.900000	0.525000	79.342399597167969
0.200000	1.000000	0.550000	79.329048156738281
0.300000	0.000000	0.325000	79.034873962402344
0.300000	0.100000	0.350000	78.938667297363281
0.300000	0.200000	0.375000	79.188262939453125
0.300000	0.300000	0.400000	79.138916015625000
0.300000	0.400000	0.425000	78.295028686523438
0.300000	0.500000	0.450000	74.373374938964844
0.300000	0.600000	0.475000	82.385414123535156
0.300000	0.700000	0.500000	81.090660095214844
0.300000	0.800000	0.525000	79.339454650878906
0.300000	0.900000	0.550000	79.336677551269531
